NO	CPA1	CPA2	CPA3	CPA4	RA1	RA2	RA3	RA4	RA5	CPL1	CPL2	CPL3	TRI1	TRI2	TRI3	OBS1	OBS2	OBS3	ATT1	ATT2	ATT3	INT1	INT2	INT3	INT4	SEX	AGE	EDUC	INCOME	STATUS
308	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	10,000,000 VND - 20,000,000 VND	Married
309	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
310	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
311	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	Agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
312	Neutral	Neutral	More or less agree	Neutral	Totally agree	More or less agree	Neutral	Neutral	More or less agree	Totally disagree	Totally disagree	Totally disagree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	College diploma	< 10,000,000 VND	Single
313	Neutral	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	Totally agree	Totally disagree	Totally disagree	Totally disagree	More or less agree	More or less agree	Totally agree	Neutral	Neutral	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	Totally agree	Totally agree	Totally agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
314	Totally agree	More or less agree	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	Disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Totally agree	Agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	College diploma	< 10,000,000 VND	Married
315	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Male	26-28 years old	Professional certificate	< 10,000,000 VND	Single
316	Neutral	Neutral	Neutral	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Totally agree	Totally agree	Totally agree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	College diploma	< 10,000,000 VND	Married
317	More or less agree	Totally agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
318	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less agree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Male	26-28 years old	College diploma	< 10,000,000 VND	Married
319	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Single
320	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	More or less agree	Totally agree	Totally agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
321	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Totally disagree	Neutral	More or less agree	Neutral	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
322	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
323	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Totally disagree	More or less disagree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
324	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	Professional certificate	< 10,000,000 VND	Single
325	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
326	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Agree	Agree	Agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
327	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	Postgraduate degree	20,000,000 VND – 30,000,000 VND	Married
328	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Disagree	Disagree	Disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	Female	26-28 years old	College diploma	< 10,000,000 VND	Married
329	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
330	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Disagree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
331	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Totally agree	Totally agree	Totally agree	More or less agree	Agree	Agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Single
332	More or less agree	More or less agree	Neutral	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	Agree	Agree	Agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
333	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	Disagree	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Male	26-28 years old	College diploma	< 10,000,000 VND	Married
334	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Disagree	More or less disagree	Disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Single
335	Neutral	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Agree	Neutral	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Female	26-28 years old	Postgraduate degree	20,000,000 VND – 30,000,000 VND	Married
336	Neutral	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Disagree	Neutral	Disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	Female	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Single
337	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less disagree	Disagree	Disagree	More or less agree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Single
338	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	Totally disagree	Totally agree	More or less agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
339	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Single
340	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Female	26-28 years old	College diploma	< 10,000,000 VND	Married
341	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Single
342	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Agree	Agree	Disagree	More or less disagree	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
343	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
344	Neutral	Neutral	Neutral	More or less disagree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Agree	More or less agree	More or less agree	Totally agree	More or less agree	Neutral	More or less agree	More or less agree	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
345	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Male	26-28 years old	Postgraduate degree	20,000,000 VND – 30,000,000 VND	Married
346	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
347	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
348	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
349	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
350	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Disagree	More or less agree	More or less agree	Neutral	Agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
351	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Totally agree	Totally agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	26-28 years old	Professional certificate	< 10,000,000 VND	Single
352	Agree	Agree	Agree	Agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Agree	Agree	More or less agree	Neutral	Agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	Female	26-28 years old	College diploma	< 10,000,000 VND	Married
353	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	Totally agree	Totally agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
354	More or less agree	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	College diploma	< 10,000,000 VND	Married
355	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Totally disagree	Totally disagree	Totally disagree	Neutral	Neutral	Neutral	Neutral	Agree	Neutral	Totally agree	Totally agree	Totally agree	Neutral	More or less agree	More or less agree	More or less agree	Male	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
356	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	More or less disagree	Neutral	More or less disagree	Disagree	More or less disagree	More or less disagree	Disagree	More or less disagree	Disagree	Neutral	Neutral	More or less disagree	More or less disagree	Neutral	Totally disagree	Neutral	Totally disagree	More or less disagree	Neutral	Male	26-28 years old	Postgraduate degree	30,000,000 VND – 40,000,000 VND	Married
357	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	Totally agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	Male	26-28 years old	College diploma	< 10,000,000 VND	Married
358	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
359	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Totally agree	Agree	Agree	Agree	Totally agree	Totally agree	Totally agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Totally agree	Totally agree	Male	26-28 years old	Professional certificate	< 10,000,000 VND	Single
360	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	26-28 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Married
361	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Male	26-28 years old	College diploma	< 10,000,000 VND	Married
